Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-07299000018,9/18/2017,4897,Gasland #102 / Burlington,1703 Mt Pleasant St,Burlington,52601,POINT (-91.121931 40.819885),29,DES MOINES,1011100,Blended Whiskies,65,Jim Beam Brands,24454,Kessler Blend Whiskey,24,375,3.15,4.73,24,113.52,9,2.38
INV-07302600065,9/18/2017,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1022200,100% Agave Tequila,260,DIAGEO AMERICAS,89175,Don Julio Anejo Tequila,6,750,33.49,50.24,24,1205.76,18,4.76
INV-07324500001,9/19/2017,4697,Southside Liquor & Tobacco / Iowa City,601 Hollywood Blvd,Iowa City,52240,POINT (-91.52741 41.643807),52,JOHNSON,1011100,Blended Whiskies,65,Jim Beam Brands,22786,Beam's 8 Star Bl Whiskey,12,750,4,6,12,70.8,9,2.38
INV-07235300005,9/13/2017,5328,Cornerstone Apothecary,122 Main St,Van Horne,52346,POINT (-92.091146 42.008325),6,BENTON,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,69636,Dr. Mcgillicuddy's Cherry Schnapps,12,750,8.66,12.99,3,38.97,2.25,0.59
INV-07331800009,9/19/2017,5235,Kum & Go #540 / Waukee,3105 Grand Prairie Pkwy,Waukee,50263,POINT (-93.85358 41.574209),25,DALLAS,1031100,American Vodkas,205,E & J Gallo Winery,36971,New Amsterdam Vodka,6,1750,14,21,6,126,10.5,2.77
INV-07255100028,9/14/2017,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14th St,Des Moines,50315,,77,POLK,1031100,American Vodkas,421,SAZERAC COMPANY  INC,38088,Platinum 7x Vodka,6,1750,9.44,14.16,150,2124,262.5,69.35
INV-07322000169,9/19/2017,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1022200,100% Agave Tequila,65,Jim Beam Brands,88540,Hornitos Lime Shot,12,750,12.07,18.11,2,42.52,1.5,0.4
INV-07235600011,9/13/2017,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 Boyson Rd NE,Cedar Rapids,52402,POINT (-91.63913 42.04671),57,LINN,1011200,Straight Bourbon Whiskies,421,SAZERAC COMPANY  INC,21480,Benchmark Old No. 8,12,750,6.38,9.57,4,38.28,3,0.79
INV-07340100005,9/19/2017,4935,Ali's Liquor,1117 E 4th St,Waterloo,50703,POINT (-92.332774 42.507683),7,BLACK HAWK,1031100,American Vodkas,255,Infinium Spirits,37880,Seagrams Extra Smooth,24,200,1.76,2.64,48,126.72,9.6,2.54
INV-07251300046,9/14/2017,5162,Urbandale Liquor,"6401, Douglas Ave",Urbandale,50322,POINT (-93.705732 41.629411),77,POLK,1012400,Irish Whiskies,370,PERNOD RICARD USA,15626,Jameson,12,750,15.99,23.99,3,67.47,2.25,0.59
INV-07276200023,9/15/2017,3056,Clarion Super Valu Ii,325 Central Ave W,Clarion,50525,POINT (-93.735875 42.731643),99,WRIGHT,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25606,Seagrams 7 Crown Bl Whiskey,12,750,7,10.5,4,42,3,0.79
INV-07307900012,9/18/2017,5451,Casey's General Store # 2527/ Sheldon,1401 Park St,Sheldon,51201,POINT (-95.84182700000001 43.186026),71,OBRIEN,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26820,Jack Daniels Old #7 Black Lbl Flat,24,375,7.5,11.25,6,67.5,2.25,0.59
INV-07289700019,9/18/2017,5333,Fareway Stores # 166/ Anamosa,402 E Main,Anamosa,52205,POINT (-91.281344 42.108275),53,JONES,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77740,Smirnoff Raspberry,12,750,8.25,12.38,4,49.52,3,0.79
INV-07336300023,9/19/2017,5441,Liquor on the Corner,300 East Main,Cherokee,51012,POINT (-95.547298 42.749597),18,CHEROKEE,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19064,Jim Beam,24,375,5.5,8.25,5,39.4,1.88,0.5
